name,chebi_id,chebi id
A,CHEBI:16335,16335
Am,CHEBI:69426,69426
C,CHEBI:17562,17562
Cm,CHEBI:19228,19228
D,CHEBI:23774,23774
G,CHEBI:16750,16750
Gm,CHEBI:19229,19229
I,CHEBI:17596,17596
Im,CHEBI:68467,68467
OHyWx,CHEBI:73626,73626
Q,CHEBI:60193,60193
Qbase,CHEBI:77674,77674
U,CHEBI:16704,16704
Um,CHEBI:19227,19227
Y,CHEBI:17802,17802
Ym,CHEBI:19231,19231
ac4C,CHEBI:70989,70989
acp3D,CHEBI:71588,71588
acp3U,CHEBI:19928,19928
chm5U,CHEBI:20530,20530
cm5U,CHEBI:75654,75654
cmnm5U,CHEBI:64337,64337
cmnm5s2U,CHEBI:64336,64336
cmo5U,CHEBI:27240,27240
ct6A,CHEBI:71559,71559
f5C,CHEBI:234279,234279
galQ,CHEBI:64309,64309
galQ/manQ,CHEBI:64309,64309
hm5C,CHEBI:191041,191041
ho5U,CHEBI:149645,149645
i6A,CHEBI:62881,62881
io6A,CHEBI:71693,71693
m1A,CHEBI:16020,16020
m1G,CHEBI:19062,19062
m1I,CHEBI:19065,19065
m1Y,CHEBI:19068,19068
"m2,2,7G",CHEBI:143283,143283
"m2,2G",CHEBI:19289,19289
m2A,CHEBI:19688,19688
m2G,CHEBI:19702,19702
m3C,CHEBI:20129,20129
m3U,CHEBI:89487,89487
m5C,CHEBI:20607,20607
m5Cm,CHEBI:184012,184012
m5U,CHEBI:45996,45996
m5Um,CHEBI:19226,19226
m5s2U,CHEBI:20602,20602
"m6,6A",CHEBI:28284,28284
m6A,CHEBI:21891,21891
m6Am,CHEBI:229469,229469
m6t6A,CHEBI:133071,133071
m7G,CHEBI:20794,20794
mcm5U,CHEBI:20598,20598
mcm5s2U,CHEBI:20597,20597
mcmo5U,CHEBI:27241,27241
mnm5U,CHEBI:20605,20605
mo5U,CHEBI:20601,20601
ms2i6A,CHEBI:62875,62875
ms2io6A,CHEBI:62879,62879
ms2t6A,CHEBI:21457,21457
ncm5U,CHEBI:62005,62005
nm5s2U,CHEBI:73769,73769
o2yW,CHEBI:64330,64330
oQ,CHEBI:63792,63792
preQ0base,CHEBI:45075,45075
preQ1base,CHEBI:58703,58703
s2C,CHEBI:19780,19780
s2U,CHEBI:60731,60731
s4U,CHEBI:20480,20480
t6A,CHEBI:21440,21440
yW,CHEBI:46574,46574
yW-72,CHEBI:73555,73555
